#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CG12050	CG7728	3234323	3226390	7227.FBpp0113107	7227.FBpp0075034	0	0	0	0	0.904	0.860	0.900	0.691	0.999
CG30349	nop5	3232826	3228392	7227.FBpp0087731	7227.FBpp0078997	0	0	0	0	0.986	0.808	0.900	0.452	0.999
nop5	CG8939	3228392	3225845	7227.FBpp0078997	7227.FBpp0073943	0	0	0	0	0.988	0.897	0	0.414	0.999
CG12050	CG13097	3234323	3228527	7227.FBpp0113107	7227.FBpp0079305	0	0	0	0	0.861	0.864	0.900	0.697	0.999
RIOK2	CG7338	3231069	3227894	7227.FBpp0084191	7227.FBpp0077998	0	0	0	0	0.860	0.866	0.900	0.966	0.999
CG9799	nop5	3230047	3228392	7227.FBpp0082231	7227.FBpp0078997	0	0	0	0	0.959	0.868	0.900	0.289	0.999
CG5728	CG7728	3230983	3226390	7227.FBpp0084016	7227.FBpp0075034	0	0	0	0	0.984	0.703	0.900	0.846	0.999
CG13097	CG12301	3228527	3226533	7227.FBpp0079305	7227.FBpp0075317	0.223	0	0	0	0.920	0.868	0.900	0.645	0.999
nop5	l(1)G0004	3228392	3227373	7227.FBpp0078997	7227.FBpp0076990	0	0	0	0	0.926	0.864	0.900	0.176	0.999
CG5728	CG12301	3230983	3226533	7227.FBpp0084016	7227.FBpp0075317	0	0	0	0	0.941	0.748	0.900	0.725	0.999
CG13096	nop5	3228528	3228392	7227.FBpp0079306	7227.FBpp0078997	0	0	0	0	0.994	0.867	0	0.097	0.999
CG8545	CG32344	3232509	3225102	7227.FBpp0087045	7227.FBpp0072475	0	0	0	0	0.981	0.690	0	0.890	0.999
Nop56	nop5	3230765	3228392	7227.FBpp0083625	7227.FBpp0078997	0	0	0.336	0.882	0.999	0.941	0.900	0.981	0.999
CG5728	nop5	3230983	3228392	7227.FBpp0084016	7227.FBpp0078997	0	0	0	0	0.984	0.808	0.900	0.554	0.999
pit	nop5	3230741	3228392	7227.FBpp0083572	7227.FBpp0078997	0.055	0	0	0	0.996	0.838	0	0.452	0.999
CG13097	CG5589	3228527	3226341	7227.FBpp0079305	7227.FBpp0074936	0	0	0	0	0.914	0.748	0.900	0.731	0.999
Nop56	CG7728	3230765	3226390	7227.FBpp0083625	7227.FBpp0075034	0	0	0	0	0.943	0.818	0.900	0.645	0.999
CG12325	CG12301	3232662	3226533	7227.FBpp0087322	7227.FBpp0075317	0	0	0	0	0.911	0.799	0.900	0.566	0.999
nop5	Fib	3228392	3224793	7227.FBpp0078997	7227.FBpp0071892	0	0	0	0	0.999	0.757	0.900	0.866	0.999
CG12050	CG30349	3234323	3232826	7227.FBpp0113107	7227.FBpp0087731	0	0	0	0	0.920	0.808	0.900	0.885	0.999
NHP2	Nop56	3237470	3230765	7227.FBpp0305289	7227.FBpp0083625	0	0	0.355	0	0.999	0.338	0.540	0.980	0.999
CG5033	CG11583	3233132	3225400	7227.FBpp0088519	7227.FBpp0073098	0	0	0	0	0.979	0.802	0	0.784	0.999
CG13097	Rtc1	3228527	3225685	7227.FBpp0079305	7227.FBpp0073651	0	0	0	0	0.554	0.799	0.900	0.911	0.999
CG9799	l(1)G0004	3230047	3227373	7227.FBpp0082231	7227.FBpp0076990	0	0	0	0	0.894	0.799	0.900	0.664	0.999
CG30349	CG13097	3232826	3228527	7227.FBpp0087731	7227.FBpp0079305	0	0	0	0	0.916	0.808	0.900	0.733	0.999
CG5033	pit	3233132	3230741	7227.FBpp0088519	7227.FBpp0083572	0	0	0	0	0.991	0.860	0	0.700	0.999
CG9799	CG7728	3230047	3226390	7227.FBpp0082231	7227.FBpp0075034	0	0	0	0	0.932	0.860	0.900	0.640	0.999
NHP2	Fib	3237470	3224793	7227.FBpp0305289	7227.FBpp0071892	0	0	0	0	0.980	0.342	0.540	0.914	0.999
CG12325	Nop56	3232662	3230765	7227.FBpp0087322	7227.FBpp0083625	0	0	0	0	0.925	0.861	0.900	0.735	0.999
CG8545	Nnp-1	3232509	3228921	7227.FBpp0087045	7227.FBpp0080052	0	0	0	0	0.986	0.753	0	0.689	0.998
CG1542	nop5	3231566	3228392	7227.FBpp0085119	7227.FBpp0078997	0	0	0	0	0.983	0.821	0	0.453	0.998
CG7338	CG2691	3227894	3225701	7227.FBpp0077998	7227.FBpp0073679	0	0	0	0	0.967	0.754	0	0.885	0.998
Nop56	CG13096	3230765	3228528	7227.FBpp0083625	7227.FBpp0079306	0	0	0	0	0.984	0.865	0	0.498	0.998
CG12050	CG12301	3234323	3226533	7227.FBpp0113107	7227.FBpp0075317	0	0	0	0	0.889	0.799	0.900	0.417	0.998
CG7728	CG5589	3226390	3226341	7227.FBpp0075034	7227.FBpp0074936	0	0	0	0	0.937	0.052	0.900	0.748	0.998
CG12325	CG4554	3232662	3224719	7227.FBpp0087322	7227.FBpp0071744	0	0	0	0	0.898	0.349	0.900	0.740	0.998
nop5	CG12301	3228392	3226533	7227.FBpp0078997	7227.FBpp0075317	0	0	0	0	0.918	0.868	0.900	0.183	0.998
Nnp-1	nop5	3228921	3228392	7227.FBpp0080052	7227.FBpp0078997	0	0	0	0	0.994	0.050	0	0.694	0.998
CG5728	Fib	3230983	3224793	7227.FBpp0084016	7227.FBpp0071892	0	0	0	0	0.876	0.615	0.900	0.667	0.998
l(1)G0004	CG12301	3227373	3226533	7227.FBpp0076990	7227.FBpp0075317	0	0	0	0	0.859	0.860	0.900	0.528	0.998
Nop56	Rtc1	3230765	3225685	7227.FBpp0083625	7227.FBpp0073651	0.047	0	0.212	0	0.649	0.799	0.900	0.775	0.998
Nop56	CG12301	3230765	3226533	7227.FBpp0083625	7227.FBpp0075317	0	0	0	0	0.890	0.864	0.900	0.272	0.998
RpI1	nop5	3232310	3228392	7227.FBpp0086640	7227.FBpp0078997	0	0	0	0	0.984	0.702	0	0.716	0.998
CG9799	CG12301	3230047	3226533	7227.FBpp0082231	7227.FBpp0075317	0	0	0	0	0.887	0.799	0.900	0.548	0.998
Nop56	CG9253	3230765	3229393	7227.FBpp0083625	7227.FBpp0080997	0.055	0	0	0	0.975	0.255	0.900	0.234	0.998
CG5033	l(2)09851	3233132	3231685	7227.FBpp0088519	7227.FBpp0085379	0	0	0	0	0.984	0.255	0	0.849	0.998
nop5	Rtc1	3228392	3225685	7227.FBpp0078997	7227.FBpp0073651	0.047	0	0	0	0.600	0.864	0.900	0.676	0.998
pit	CG11583	3230741	3225400	7227.FBpp0083572	7227.FBpp0073098	0	0	0	0	0.988	0.739	0	0.670	0.998
Nop56	l(1)G0004	3230765	3227373	7227.FBpp0083625	7227.FBpp0076990	0	0	0	0	0.859	0.799	0.900	0.407	0.998
CG5033	CG1542	3233132	3231566	7227.FBpp0088519	7227.FBpp0085119	0	0	0	0	0.941	0.705	0.540	0.808	0.998
CG9253	CG7338	3229393	3227894	7227.FBpp0080997	7227.FBpp0077998	0	0	0	0	0.988	0.070	0.900	0.045	0.998
Nop56	CG7338	3230765	3227894	7227.FBpp0083625	7227.FBpp0077998	0	0	0	0	0.982	0.050	0.900	0.396	0.998
CG5033	CG8545	3233132	3232509	7227.FBpp0088519	7227.FBpp0087045	0	0	0	0	0.977	0.862	0	0.553	0.998
CG9799	Fib	3230047	3224793	7227.FBpp0082231	7227.FBpp0071892	0	0	0	0	0.873	0.753	0.900	0.617	0.998
nop5	CG7338	3228392	3227894	7227.FBpp0078997	7227.FBpp0077998	0	0	0	0	0.984	0.048	0.900	0.096	0.998
NHP2	CG32409	3237470	3227244	7227.FBpp0305289	7227.FBpp0076738	0	0	0	0	0.996	0.321	0	0.229	0.998
CG12325	l(1)G0004	3232662	3227373	7227.FBpp0087322	7227.FBpp0076990	0	0	0	0	0.888	0.820	0.900	0.556	0.998
Nopp140	nop5	3237391	3228392	7227.FBpp0305034	7227.FBpp0078997	0	0	0	0	0.971	0.826	0	0.679	0.998
CG30349	CG12301	3232826	3226533	7227.FBpp0087731	7227.FBpp0075317	0	0	0	0	0.903	0.642	0.900	0.669	0.998
CG8545	CG8939	3232509	3225845	7227.FBpp0087045	7227.FBpp0073943	0.110	0	0	0	0.955	0.872	0	0.742	0.998
CG12050	l(1)G0004	3234323	3227373	7227.FBpp0113107	7227.FBpp0076990	0	0	0	0	0.872	0.860	0.900	0.457	0.998
CG12325	Fib	3232662	3224793	7227.FBpp0087322	7227.FBpp0071892	0	0	0	0	0.860	0.756	0.900	0.641	0.998
CG1234	CG11583	3229452	3225400	7227.FBpp0081117	7227.FBpp0073098	0	0	0	0	0.973	0.858	0	0.687	0.998
nop5	CG11583	3228392	3225400	7227.FBpp0078997	7227.FBpp0073098	0	0	0	0	0.988	0.613	0	0.547	0.997
CG32409	CG8939	3227244	3225845	7227.FBpp0076738	7227.FBpp0073943	0	0	0	0	0.983	0.667	0.540	0.075	0.997
nop5	CG32409	3228392	3227244	7227.FBpp0078997	7227.FBpp0076738	0	0	0	0	0.988	0.673	0	0.277	0.997
CG1542	CG8939	3231566	3225845	7227.FBpp0085119	7227.FBpp0073943	0	0	0	0	0.942	0.825	0.540	0.517	0.997
Nop60B	pit	3233535	3230741	7227.FBpp0099583	7227.FBpp0083572	0.071	0	0	0	0.942	0.710	0	0.832	0.997
NHP2	CG7006	3237470	3231013	7227.FBpp0305289	7227.FBpp0084082	0	0	0	0	0.996	0.191	0	0.071	0.997
Dbp45A	CG12325	3232790	3232662	7227.FBpp0087645	7227.FBpp0087322	0	0.001	0	0	0.888	0.280	0.900	0.698	0.997
CG12050	Rtc1	3234323	3225685	7227.FBpp0113107	7227.FBpp0073651	0	0	0	0	0.536	0.799	0.900	0.738	0.997
CG9799	Rtc1	3230047	3225685	7227.FBpp0082231	7227.FBpp0073651	0	0	0	0	0.667	0.878	0.900	0.458	0.997
CG30349	l(1)G0004	3232826	3227373	7227.FBpp0087731	7227.FBpp0076990	0	0	0	0	0.915	0.595	0.900	0.453	0.997
CG1542	CG7006	3231566	3231013	7227.FBpp0085119	7227.FBpp0084082	0	0	0	0	0.976	0.642	0.540	0.416	0.997
Nop56	CG8939	3230765	3225845	7227.FBpp0083625	7227.FBpp0073943	0	0	0	0	0.983	0.762	0	0.407	0.997
CG8545	CG11583	3232509	3225400	7227.FBpp0087045	7227.FBpp0073098	0	0	0	0	0.984	0.809	0	0.307	0.997
pit	CG13096	3230741	3228528	7227.FBpp0083572	7227.FBpp0079306	0	0	0	0	0.987	0.588	0	0.508	0.997
nop5	CG5589	3228392	3226341	7227.FBpp0078997	7227.FBpp0074936	0	0	0	0	0.939	0.613	0.900	0.179	0.997
CG8545	CG9253	3232509	3229393	7227.FBpp0087045	7227.FBpp0080997	0	0	0	0	0.994	0.541	0	0.096	0.997
CG5033	CG13096	3233132	3228528	7227.FBpp0088519	7227.FBpp0079306	0	0	0	0	0.982	0.590	0	0.728	0.997
CG13096	CG7728	3228528	3226390	7227.FBpp0079306	7227.FBpp0075034	0	0	0	0	0.946	0.835	0	0.731	0.997
CG12050	CG4554	3234323	3224719	7227.FBpp0113107	7227.FBpp0071744	0	0	0	0	0.863	0.337	0.900	0.748	0.997
CG13097	l(1)G0004	3228527	3227373	7227.FBpp0079305	7227.FBpp0076990	0	0	0	0	0.867	0.799	0.900	0.306	0.997
CG5728	CG4554	3230983	3224719	7227.FBpp0084016	7227.FBpp0071744	0	0	0	0	0.924	0.100	0.900	0.736	0.997
CG30349	Fib	3232826	3224793	7227.FBpp0087731	7227.FBpp0071892	0	0	0	0	0.868	0.717	0.900	0.415	0.997
CG5033	CG7728	3233132	3226390	7227.FBpp0088519	7227.FBpp0075034	0	0	0	0	0.984	0	0.540	0.655	0.997
l(1)G0004	Fib	3227373	3224793	7227.FBpp0076990	7227.FBpp0071892	0	0	0	0	0.879	0.744	0.900	0.371	0.997
CG8545	CG7006	3232509	3231013	7227.FBpp0087045	7227.FBpp0084082	0.193	0	0	0	0.886	0.863	0	0.844	0.997
CG7338	CG7728	3227894	3226390	7227.FBpp0077998	7227.FBpp0075034	0	0	0	0.552	0.942	0.273	0.900	0.864	0.997
CG13096	CG32409	3228528	3227244	7227.FBpp0079306	7227.FBpp0076738	0	0	0	0	0.983	0.812	0	0.289	0.997
CG12325	CG7338	3232662	3227894	7227.FBpp0087322	7227.FBpp0077998	0	0	0	0	0.949	0	0.900	0.451	0.996
CG30349	CG7338	3232826	3227894	7227.FBpp0087731	7227.FBpp0077998	0	0	0	0	0.942	0	0.900	0.363	0.996
ppan	Surf6	3230664	3230594	7227.FBpp0083415	7227.FBpp0083263	0	0	0	0	0.966	0.602	0	0.759	0.996
nop5	pen	3228392	3227340	7227.FBpp0078997	7227.FBpp0076918	0	0	0	0	0.985	0.805	0	0	0.996
CG1542	Nop56	3231566	3230765	7227.FBpp0085119	7227.FBpp0083625	0	0	0	0	0.984	0.673	0	0.407	0.996
CG30349	CG5589	3232826	3226341	7227.FBpp0087731	7227.FBpp0074936	0	0	0	0	0.937	0	0.900	0.408	0.996
CG30349	Rtc1	3232826	3225685	7227.FBpp0087731	7227.FBpp0073651	0	0	0	0	0.765	0.595	0.900	0.716	0.996
l(1)G0004	CG5589	3227373	3226341	7227.FBpp0076990	7227.FBpp0074936	0	0	0	0	0.877	0.155	0.900	0.711	0.996
CG12325	CG5589	3232662	3226341	7227.FBpp0087322	7227.FBpp0074936	0	0	0	0	0.919	0.269	0.900	0.468	0.996
CG13097	Fib	3228527	3224793	7227.FBpp0079305	7227.FBpp0071892	0	0	0	0	0.638	0.755	0.900	0.661	0.996
Nop56	CG5589	3230765	3226341	7227.FBpp0083625	7227.FBpp0074936	0	0	0	0	0.938	0.266	0.900	0.320	0.996
Nnp-1	CG11583	3228921	3225400	7227.FBpp0080052	7227.FBpp0073098	0	0	0	0	0.980	0.702	0	0.452	0.996
Nop56	CG11583	3230765	3225400	7227.FBpp0083625	7227.FBpp0073098	0	0	0	0	0.994	0.331	0	0.156	0.996
CG7338	CG5589	3227894	3226341	7227.FBpp0077998	7227.FBpp0074936	0	0	0	0	0.895	0	0.900	0.716	0.996
CG12050	Fib	3234323	3224793	7227.FBpp0113107	7227.FBpp0071892	0	0	0	0	0.686	0.753	0.900	0.559	0.996
CG1542	Surf6	3231566	3230594	7227.FBpp0085119	7227.FBpp0083263	0	0	0	0	0.926	0.761	0	0.795	0.996
CG8939	CG11583	3225845	3225400	7227.FBpp0073943	7227.FBpp0073098	0	0	0	0	0.983	0.744	0	0.312	0.996
CG5728	Rtc1	3230983	3225685	7227.FBpp0084016	7227.FBpp0073651	0	0	0	0	0.362	0.595	0.900	0.873	0.996
CG13096	CG11583	3228528	3225400	7227.FBpp0079306	7227.FBpp0073098	0	0	0	0	0.975	0.577	0	0.660	0.996
CG5033	CG5728	3233132	3230983	7227.FBpp0088519	7227.FBpp0084016	0	0	0	0	0.984	0.053	0	0.724	0.995
Surf6	CG32409	3230594	3227244	7227.FBpp0083263	7227.FBpp0076738	0	0	0	0	0.983	0.714	0	0.047	0.995
CG9143	CG11583	3231810	3225400	7227.FBpp0085616	7227.FBpp0073098	0	0	0	0	0.923	0.678	0	0.825	0.995
CG8545	CG32409	3232509	3227244	7227.FBpp0087045	7227.FBpp0076738	0	0	0	0	0.983	0.713	0	0.220	0.995
CG1542	CG13096	3231566	3228528	7227.FBpp0085119	7227.FBpp0079306	0	0	0	0	0.941	0.734	0	0.718	0.995
Nop56	CG1234	3230765	3229452	7227.FBpp0083625	7227.FBpp0081117	0	0	0	0	0.977	0.703	0	0.385	0.995
CG1542	Nnp-1	3231566	3228921	7227.FBpp0085119	7227.FBpp0080052	0	0	0	0	0.938	0.710	0.540	0.555	0.995
CG5728	CG2691	3230983	3225701	7227.FBpp0084016	7227.FBpp0073679	0	0	0	0	0.981	0.116	0	0.761	0.995
NHP2	CG11583	3237470	3225400	7227.FBpp0305289	7227.FBpp0073098	0	0	0	0	0.993	0.294	0	0	0.995
CG8545	Nop56	3232509	3230765	7227.FBpp0087045	7227.FBpp0083625	0	0	0	0	0.983	0.712	0	0.199	0.995
Nnp-1	CG8939	3228921	3225845	7227.FBpp0080052	7227.FBpp0073943	0	0	0	0	0.936	0.812	0.540	0.332	0.995
CG7338	CG12301	3227894	3226533	7227.FBpp0077998	7227.FBpp0075317	0	0	0	0	0.910	0	0.900	0.550	0.995
Rtc1	CG4554	3225685	3224719	7227.FBpp0073651	7227.FBpp0071744	0	0	0	0	0.139	0.613	0.900	0.873	0.995
CG5728	l(1)G0004	3230983	3227373	7227.FBpp0084016	7227.FBpp0076990	0	0	0	0	0.766	0.595	0.900	0.556	0.995
CG9799	CG7338	3230047	3227894	7227.FBpp0082231	7227.FBpp0077998	0	0	0	0	0.940	0	0.900	0.264	0.995
CG8545	CG1542	3232509	3231566	7227.FBpp0087045	7227.FBpp0085119	0	0	0	0	0.925	0.851	0	0.626	0.995
CG8545	CG13096	3232509	3228528	7227.FBpp0087045	7227.FBpp0079306	0	0	0	0	0.883	0.931	0	0.311	0.994
Dbp45A	CG7338	3232790	3227894	7227.FBpp0087645	7227.FBpp0077998	0	0	0	0	0.879	0.070	0.900	0.566	0.994
CG9253	CG5589	3229393	3226341	7227.FBpp0080997	7227.FBpp0074936	0	0	0.443	0.673	0.913	0.100	0.900	0.773	0.994
CG7338	Rtc1	3227894	3225685	7227.FBpp0077998	7227.FBpp0073651	0	0	0	0	0.779	0	0.900	0.768	0.994
l(2)09851	Nop56	3231685	3230765	7227.FBpp0085379	7227.FBpp0083625	0	0	0	0	0.993	0.047	0	0.076	0.994
CG30349	CG9253	3232826	3229393	7227.FBpp0087731	7227.FBpp0080997	0	0	0	0	0.947	0.047	0.900	0	0.994
CG5728	CG11583	3230983	3225400	7227.FBpp0084016	7227.FBpp0073098	0	0	0	0	0.972	0.358	0	0.735	0.994
l(2)09851	nop5	3231685	3228392	7227.FBpp0085379	7227.FBpp0078997	0	0	0	0	0.993	0	0	0.297	0.994
Nop56	CG32409	3230765	3227244	7227.FBpp0083625	7227.FBpp0076738	0	0	0	0	0.988	0.570	0	0.083	0.994
Nop56	pen	3230765	3227340	7227.FBpp0083625	7227.FBpp0076918	0	0	0	0	0.983	0.682	0	0	0.994
Dbp45A	l(1)G0004	3232790	3227373	7227.FBpp0087645	7227.FBpp0076990	0	0	0	0	0.874	0.162	0.900	0.566	0.994
Rtc1	Fib	3225685	3224793	7227.FBpp0073651	7227.FBpp0071892	0	0	0	0	0.523	0.749	0.900	0.617	0.994
CG9253	CG8939	3229393	3225845	7227.FBpp0080997	7227.FBpp0073943	0	0	0	0	0.982	0.558	0	0.354	0.994
CG7006	CG8939	3231013	3225845	7227.FBpp0084082	7227.FBpp0073943	0	0	0	0	0.893	0.595	0.540	0.739	0.994
CG12909	CG11583	3232700	3225400	7227.FBpp0087437	7227.FBpp0073098	0	0	0	0	0.985	0.048	0	0.617	0.994
CG13096	l(1)G0004	3228528	3227373	7227.FBpp0079306	7227.FBpp0076990	0	0	0	0	0.925	0.764	0	0.717	0.994
CG13097	CG7338	3228527	3227894	7227.FBpp0079305	7227.FBpp0077998	0	0	0	0	0.924	0	0.900	0.274	0.994
l(2)09851	CG9799	3231685	3230047	7227.FBpp0085379	7227.FBpp0082231	0	0	0	0	0.930	0.729	0	0.719	0.994
Nopp140	Nop60B	3237391	3233535	7227.FBpp0305034	7227.FBpp0099583	0	0	0	0	0.936	0.622	0	0.771	0.994
pit	Nnp-1	3230741	3228921	7227.FBpp0083572	7227.FBpp0080052	0	0	0	0	0.959	0.710	0	0.525	0.994
nop5	CG2691	3228392	3225701	7227.FBpp0078997	7227.FBpp0073679	0	0	0	0	0.974	0.717	0	0.278	0.994
pit	CG8939	3230741	3225845	7227.FBpp0083572	7227.FBpp0073943	0	0	0	0	0.961	0.765	0	0.447	0.994
pit	CG7728	3230741	3226390	7227.FBpp0083572	7227.FBpp0075034	0	0	0	0	0.958	0.613	0	0.661	0.994
Surf6	CG11583	3230594	3225400	7227.FBpp0083263	7227.FBpp0073098	0	0	0	0	0.944	0.707	0	0.661	0.994
Nop60B	CG5033	3233535	3233132	7227.FBpp0099583	7227.FBpp0088519	0	0	0	0	0.977	0.389	0	0.618	0.994
